,ID,Name,Gene Name,Species,Drug IDs
1252,661,Interferon alpha/beta receptor 1,IFNAR1,Humans,DB15119
1253,385,Interferon alpha/beta receptor 2,IFNAR2,Humans,DB15119
1254,11134,Thymic stromal lymphopoietin,TSLP,Humans,DB15090
1255,11139,IgG receptor FcRn large subunit p51,FCGRT,Humans,DB15270
1256,11145,Interleukin-17F,IL17F,Humans,DB12917
1257,11160,Melanocyte protein PMEL,PMEL,Humans,DB15283
1258,11165,Lymphocyte activation gene 3 protein,LAG3,Humans,DB14851
1259,11170,Gastric inhibitory polypeptide,GIP,Humans,DB15171
1260,11200,Interleukin-1 receptor-like 2,IL1RL2,Humans,DB15626
1261,3456,T-cell surface glycoprotein CD3 delta chain,CD3D,Humans,DB16655
1262,274,T-cell surface glycoprotein CD3 epsilon chain,CD3E,Humans,DB16655
1263,3457,T-cell surface glycoprotein CD3 gamma chain,CD3G,Humans,DB16655
1264,3458,T-cell surface glycoprotein CD3 zeta chain,CD247,Humans,DB16655
